parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
377,guishan,Guishan,萬壽路二段1206巷(萬壽路二段1206巷-壽山路2巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
378,guishan,Guishan,文化一路2(文桃路-振興路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
379,guishan,Guishan,文青路(樂善一路-文青三路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37A,guishan,Guishan,文青二路(文青路-文青路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37B,guishan,Guishan,萬壽路一段1(龍興街-工興街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37C,guishan,Guishan,復興一路1(機車計時)(文化一路-文化二路),"機車車格 週一至週日 07:00~20:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37D,guishan,Guishan,復興北路(機車計時)(復興一路-文昌五街),"機車車格 週一至週日 07:00~20:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37E,guishan,Guishan,育英街(長壽路-光峰路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37F,guishan,Guishan,陸光路(同心二路-自強西路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37G,guishan,Guishan,明成街(大同路-明德路453巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37H,guishan,Guishan,忠義路二段2(復興一路-頂湖一街),"一般小型車格 週一至週五 08:00~18:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37I,guishan,Guishan,文化一路(機車計次)(文桃路-振興路),"機車車格 週一至週五 08:00~18:00收費 30元/次,",false,false,false,APPROVED_SOURCE_TEXT,
37J,guishan,Guishan,復興北路(復興一路-文昌五街),"一般小型車格 週一至週日 08:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37K,guishan,Guishan,復興一路2(機車計時)(文化二路-忠義路二段),"機車車格 週一至週五 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37L,guishan,Guishan,文青三路(文青一路-文青路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37M,guishan,Guishan,萬壽路一段2(集美街-國園街),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37N,guishan,Guishan,文三一街(文化三路-文三二街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37O,guishan,Guishan,自由街8巷含10巷(萬壽路一段120巷-自由街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37P,guishan,Guishan,文化七路(復興一路-文化三路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37Q,guishan,Guishan,興華五街(文化五路-文化七路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37R,guishan,Guishan,大同路(機車計時)(萬壽路二段-德明路),"機車車格 週一至週五 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37S,guishan,Guishan,文化二路1(機車計時)(復興二路-復興三路),"機車車格 週一至週五 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37T,guishan,Guishan,南上公園附屬停車場(南上公園附屬停車場-南上公園附屬停車場),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37U,guishan,Guishan,中興路(明興街-山鶯路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37V,guishan,Guishan,文昌五街(文化一路-文化二路),"一般小型車格 週一至週日 08:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37W,guishan,Guishan,樂善三路(文化一路-樂善二路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
